report_number,crash_year,role,person_number,home_zip,age,sex,injury_severity,vehicle_number,driver_distraction_code,driver_condition_code,driver_action_1,driver_action_2,driver_action_3,driver_action_4,non_motorist_description_code,location_code,action_prior_to_crash_code,action_code1,action_code2,crash_date_time,latitude,longitude
89139791,2019,P,3,32312,13,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-01T15:25:00Z,30.412781,-84.303204
89139791,2019,P,4,32304,19,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-01T15:25:00Z,30.412781,-84.303204
89139792,2019,P,3,32304,18,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-01T14:35:00Z,30.402575,-84.236694
89140305,2019,P,5,32303,22,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-17T21:14:00Z,30.434413,-84.254833
89140305,2019,P,6,NA,22,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-17T21:14:00Z,30.434413,-84.254833
89140305,2019,P,7,32327,16,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-17T21:14:00Z,30.434413,-84.254833
89140204,2019,P,3,33029,21,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-14T14:14:00Z,30.434665,-84.255406
89140204,2019,P,4,30144,31,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-14T14:14:00Z,30.434665,-84.255406
89140324,2019,P,3,32304,21,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-18T13:55:00Z,30.447724,-84.327592
89140132,2019,P,3,32313,26,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-10T21:20:00Z,30.427723,-84.226853
89140132,2019,P,4,32313,7,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-10T21:20:00Z,30.427723,-84.226853
89140132,2019,P,5,32313,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-10T21:20:00Z,30.427723,-84.226853
89139970,2019,P,3,32305,18,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-05T18:36:00Z,30.428022,-84.216368
89139970,2019,P,4,32352,18,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-05T18:36:00Z,30.428022,-84.216368
89139970,2019,P,5,32305,17,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-05T18:36:00Z,30.428022,-84.216368
89139950,2019,P,3,32327,56,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-05T13:37:00Z,30.432955,-84.226728
89140866,2019,P,3,32301,32,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-06T16:00:00Z,30.448591,-84.317391
89140866,2019,P,4,32301,13,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-06T16:00:00Z,30.448591,-84.317391
89140866,2019,P,5,32301,12,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-06T16:00:00Z,30.448591,-84.317391
87292194,2019,P,2,32310,17,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-13T12:20:00Z,30.5027208745379,-84.252329272056
88092908,2019,P,2,32308,31,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-02T00:27:00Z,30.4627206659583,-84.4037044137572
89140966,2019,P,4,NA,47,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-06T16:30:00Z,30.443728,-84.261669
89140966,2019,P,5,NA,27,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-06T16:30:00Z,30.443728,-84.261669
89140450,2019,P,4,32303,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-22T15:06:00Z,30.440643,-84.319718
89140450,2019,P,3,32304,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-22T15:06:00Z,30.440643,-84.319718
89140136,2019,P,3,32303,59,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-11T15:14:00Z,30.454737,-84.341744
89140861,2019,P,3,32303,4,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-05T21:25:00Z,30.444906,-84.295527
89140861,2019,P,4,32303,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-05T21:25:00Z,30.444906,-84.295527
89142048,2019,P,3,32312,14,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-26T15:29:00Z,30.445803,-84.284354
89142048,2019,P,4,32312,14,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-26T15:29:00Z,30.445803,-84.284354
