report_number,crash_year,crash_date_time,first_harmful_event,total_number_of_vehicles,total_number_of_persons,on_street_road_highway,street_address_number,latitude,longitude,feet_from_intersection,miles_from_intersection,direction_from_intersection,from_intersection_of,from_milepost_number,road_system_identifier,first_harmful_event,harmful_event_location,other1,tallahassee_democrat,wtxl
89139852,2019,2019-04-02 17:29,14,5,5,Apalachee Pkwy,,30.438197,-84.271145,118,,W,MYERS PARK DR,,5,14,1,EC2,,
87505298,2019,2019-04-02 17:49,14,2,2,W Pensacola St,,,,250,,W,LIPONA RD N,,5,14,1,EC2,,
89139851,2019,2019-04-02 17:54,14,2,2,S Magnolia Dr,,30.437214,-84.261809,,,,APALACHEE PKWY,,5,14,1,EC2,,
89139862,2019,2019-04-02 20:25,14,2,3,Apalachee Pkwy,,30.437932,-84.266482,79,,W,MARRIOTT DR,,3,14,1,EC2,,
89139854,2019,2019-04-02 20:46,14,2,2,W Tharpe St,,30.465275,-84.345242,,,,BLOUNTSTOWN ST,,5,14,1,EC2,,
89139857,2019,2019-04-02 20:48,14,3,3,N Monroe St,,30.469652,-84.28806,66,,E,UNIVERSAL DR,,5,14,1,EC2,,
89139856,2019,2019-04-02 21:13,14,2,3,Stadium Dr,,30.44487,-84.306455,561,,S,W CALL ST,,5,14,1,EC2,,
89139859,2019,2019-04-02 21:42,14,2,3,W Tennessee St,,30.444637,-84.288126,130,,E,N MACOMB ST,,3,14,1,EC2,,
89139899,2019,2019-04-02 21:47,14,2,2,W Tennessee St,,30.448953,-84.309183,180,,W,WHITEHALL ST,,5,14,1,EC2,,
89139858,2019,2019-04-02 22:11,14,2,2,Capital Circle NE,,30.499401,-84.247182,362,,S,RAYMOND DIEHL RD,,4,14,1,EC2,,
87270819,2019,2019-04-02 22:51,25,1,1,COUNTY ROAD 0356 (FRED GEORGE ROAD),,30.4970610101705,-84.3373833034243,100,,N,SAINT LOUIS CHURCH WAY,,5,25,2,EC2,,
88047539,2019,2019-04-02 23:25,14,2,2,INTERSTATE 10 (STATE ROAD 8),,30.4834747800622,-84.3062097960625,1000,,E,U.S. 27 (STATE ROAD 63),,1,14,1,EC2,,
87505301,2019,2019-04-02 23:40,13,1,1,Blountstown Hwy,,,,30,,E,SEABS RD,,3,13,1,EC2,,
87505300,2019,2019-04-02 23:45,14,2,5,Buck Lake Rd,,,,50,,S,MAHAN DR,,5,14,1,EC2,,
89139900,2019,2019-04-03 01:34,39,1,2,Old Bainbridge Rd,,30.461326,-84.297212,168,,S,KNOTS LN,,5,39,2,EC2,,
87505302,2019,2019-04-03 07:28,26,1,1,Miccosukee Rd,,,,,1,W,ARGYLE LN,,5,26,3,EC2,,
89139863,2019,2019-04-03 07:45,14,2,2,Thomasville Rd,,30.515459,-84.24181,256,,S,ALTOONA DR,,2,14,1,EC2,,
89139889,2019,2019-04-03 07:58,14,2,3,Stadium Dr,,30.440348,-84.306765,87,,N,W PENSACOLA ST,,5,14,1,EC2,,
87505303,2019,2019-04-03 08:00,14,4,4,SR 263,,,,1050,,N,SR 373,,3,14,1,EC2,,
89139869,2019,2019-04-03 08:04,14,2,2,N Magnolia Dr,,30.456265,-84.262722,26,,S,E 6TH AVE,,3,14,1,EC2,,
87505304,2019,2019-04-03 08:12,14,2,3,E Orange Ave,,,,0,,,CAPITAL CIR SE,,5,14,1,EC2,,
89139870,2019,2019-04-03 08:16,14,2,3,S Monroe St,,30.435257,-84.280573,,,,E GAINES ST,,5,14,1,EC2,,
89139867,2019,2019-04-03 08:28,14,2,2,Centerville Rd,,30.476399,-84.24021,241,,E,CENTERVILLE PL,,4,14,1,EC2,,
89139868,2019,2019-04-03 09:00,14,2,2,Capital Circle NE,,30.47478,-84.234839,41,,S,CARE DR,,5,14,1,EC2,,
89139879,2019,2019-04-03 09:20,15,2,1,Riggins Rd,1707,30.460193,-84.238333,,,,,,9,15,1,EC2,,
89139877,2019,2019-04-03 09:38,14,2,2,6TH AVE W,,,,,,,FORD ST,,5,14,1,EC2,,
89139872,2019,2019-04-03 10:30,14,2,2,W Orange Ave,872,30.412843,-84.297083,,,,,,9,14,2,EC2,,
88592874,2019,2019-04-03 10:30,14,2,2,TENNESSEE STREET,,,,,,W,MACOMB,,5,14,1,EC2,,
89139871,2019,2019-04-03 10:35,14,2,2,E Lafayette St,,30.437676,-84.274843,103,,E,APALACHEE PKWY,,5,14,1,EC2,,
85871809,2019,2019-04-03 11:01,14,1,2,S. MONROE STREET,400,,,,,,SERVICE DRIVE,,5,14,1,PR2,,
88592873,2019,2019-04-03 11:05,14,2,2,CHAMPIONS WAY,,30.436478,-84.30475,399,,E,W GAINES ST,,5,14,1,EC2,,
87505308,2019,2019-04-03 13:15,14,2,3,MARTIN HURST RD,3490,,,0,,,,,5,14,2,EC2,,
87505338,2019,2019-04-03 13:30,39,1,3,MONTEJO DR,5277,,,0,,,,,8,39,2,EC2,,
89139876,2019,2019-04-03 13:40,14,2,2,Market St,,30.506757,-84.251921,,,,MACLAY BLVD S,,5,14,1,EC2,,
89139878,2019,2019-04-03 13:59,14,2,3,Kerry Forest Pkwy,,30.538614,-84.216525,,,,VELDA DAIRY RD,,5,14,1,EC2,,
89139882,2019,2019-04-03 14:28,14,2,2,N Bronough St,,30.456684,-84.284323,100,,N,W 6TH AVE,,5,14,1,EC2,,
87511824,2019,2019-04-03 14:29,15,1,0,TCC PARKING LOT B,,30.44228,-84.34248,,,,,,9,15,8,EC2,,
89139880,2019,2019-04-03 14:34,14,2,2,Ocala Rd,800,30.445754,-84.318103,,,,,,9,14,2,EC2,,
89139881,2019,2019-04-03 15:05,14,2,2,Thomasville Rd,,30.464496,-84.270133,287,,S,GLENVIEW DR,,5,14,1,EC2,,
87505311,2019,2019-04-03 15:08,15,2,7,SUNBEAM LN,,,,500,,N,BLOUNTSTOWN HWY,,5,15,1,EC2,,
89139887,2019,2019-04-03 15:30,14,2,2,W Tennessee St,,30.447472,-84.327212,147,,E,DIXIE DR,,5,14,1,EC2,,
88102363,2019,2019-04-03 15:40,14,3,3,OLD BAINBRIDGE ROAD,,30.55066,-84.3597,,,,BOX WOOD LANE,,5,14,1,EC2,,
87505309,2019,2019-04-03 16:00,18,2,1,Mahan Dr,6615,,,0,,,,,9,18,8,EC2,,
89139883,2019,2019-04-03 16:33,14,3,5,Blair Stone Rd,,30.43962,-84.249587,688,,N,GOVERNORS SQUARE BLVD,,5,14,1,EC2,,
